party;class1;class2;class3;class4;class5;class6;class7;class8;class9;class10;class11;class12;class13;class14;class15;class16;class17;class18;class19;class20;class21;class22
Единая Россия;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;1;1
Cправедливая Россия - За Правду;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
Новые люди;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0
Гражданская платформа;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Партия прямой демократии;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Зелёная альтернатива;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Российская партия пенсионеров за социальную справедливость;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
КПРФ;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0
ЛДПР;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1
Российская экологическая партия «Зеленые»;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Партия роста;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
Яблоко;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0
Родина;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1
Коммунистическая Партия Коммунисты России;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
